S.No.,District Name,Janpad / Block Name,Panchayat Name,Work Start Fin Year,Work Status,Work Code,Work Name,Work Type,Sanction Wages (Rs),Sanction Material (Rs),Total Sanction (Rs),Booked Current FY Wages (Rs),Booked Current FY Material (Rs),Paid Current FY Wages (Rs),Paid Current FY Material (Rs),Booked Since Inception Wages (Rs),Booked Since Inception Material (Rs),Paid Since Inception Wages (Rs),Paid Since Inception Material (Rs),Total Mandays,Mandays Generated Current FY
1,SATNA,AMARPATAN,AHIRGAON,2024-2025,Ongoing,1712006039/AV/22012034660433,शांति धाम निर्माण कार्य ग्राम अहिरगाँव ग्राम पंचायत अहिरगाँव,Crematorium,38076.74,296829.34999999998,335219,0,0,0,0,0,0,0,0,0,0
2,SATNA,AMARPATAN,AHIRGAON,2024-2025,Ongoing,1712006039/DP/22012034626235,वृक्षारोपण कार्य आयुर्वेदिक औषधालय व शा0हायर सेकंड्री स्कूल ग्राम अहीरगाव ग्राम पंचायतअहिरगाव(मनरेगा,Plantation,78983.850000000006,89817.85,169116,0,0,0,0,0,0,0,0,0,0
3,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/22012034720465,JSA (CTR) खेत तालाब कार्य लालमन पटेल,Khet Talab,105747.74,36834.480000000003,142870,0,0,0,0,0,0,0,0,0,0
4,SATNA,AMARPATAN,AHIRGAON,2025-2026,Ongoing,1712006039/IF/22012035438470,JGSA 2025 खेत तालाब निर्माण कार्य अशोक सिंह ग्राम पंचायत अहिर्गाव,Khet Talab,112428.23,35192.93,147621,0,0,0,0,0,0,0,0,0,0
5,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/IAY/3417939,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4827597,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
6,SATNA,AMARPATAN,AHIRGAON,2021-2022,Ongoing,1712006039/IF/IAY/3560825,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4997266,PMAY-G,23490,0,23490,0,0,0,0,0,0,0,0,0,0
7,SATNA,AMARPATAN,AMIN,2024-2025,Ongoing,1712006016/AV/22012034662244,Shanti dham nirman GP Amin,Crematorium,38076.74,296829.34999999998,335219,0,0,0,0,0,0,0,0,0,0
8,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035509983,JGSA 2025 Farm Pond Construction Dharmendra singh pita Mahendra singh GP Amin,Khet Talab,112428.23,35192.93,147621,0,0,0,0,0,0,0,0,0,0
9,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035597000,एक बगिया माँ के नाम हितग्राही कलावती सिंह / बृजलाल सिंह ग्राम अमिन ग्राम पं अमिन,Ek Bagiya,114242.56,152334.69,266760,0,0,0,0,0,0,0,0,0,0
10,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035599125,एक बगिया माँ के नाम हितग्राही सुनीता कुशवाहा /राजकुमार कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya,76449.25,99120.43,175752,0,0,0,0,0,0,0,0,0,0
11,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035599145,एक बगिया माँ के नाम हितग्राही चंद्रवती कुशवाहा / कामता कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya,72351.320000000007,103919.32,176453,0,0,0,0,0,0,0,0,0,0
12,SATNA,AMARPATAN,AMIN,2025-2026,Ongoing,1712006016/IF/22012035599174,एक बगिया माँ के नाम हितग्राही प्रेमवती कुशवाहा / जगदीश कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya,72273.42,103908.26,176364,0,0,0,0,0,0,0,0,0,0
