District,Janpad,Panchayat,Cluster,Subengineer,Work FY,Work Status,Work Code,Work Name,Final Work Category,Original Work Category,Work Type,NREGA Wage Sanction,NREGA Material Sanction,NREGA Total Sanction,NREGA Booked Wages,NREGA Booked Material,NREGA Total Booked,NREGA Total Booked %,VBGRAMG Total Sanction,VBGRAMG Booked Wages,VBGRAMG Booked Material,VBGRAMG Total Booked,VBGRAMG Total Booked %,April Mandays (GP),May Mandays (GP),June Mandays (GP),July Mandays (GP),August Mandays (GP),September Mandays (GP),FY Mandays Total (GP),AF,AG,01 Apr–30 Jun,01 Jul–Today,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,Recovery Done Work,Recovery Amount Rs,Recovery Work Count
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2024-2025,Ongoing,1712006039/AV/22012034660433,शांति धाम निर्माण कार्य ग्राम अहिरगाँव ग्राम पंचायत अहिरगाँव,Crematorium,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,38076.74,296829.34999999998,335219,596,0,596.0,0.0017779421810816213,335219,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,1,0,0,0,0,3.35219,0.00596,3.34623,0.0017779421810816213,Yes,600.00,1
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2024-2025,Ongoing,1712006039/DP/22012034626235,वृक्षारोपण कार्य आयुर्वेदिक औषधालय व शा0हायर सेकंड्री स्कूल ग्राम अहीरगाव ग्राम पंचायतअहिरगाव(मनरेगा,Boundary Wall,Drought Proofing,Boundary Line Plantation of Forestry-Community,78983.850000000006,89817.85,169116,3783.78,0,3783.78,0.02237387355424679,169116,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,1,0,0,0,0,1.69116,0.037837800000000005,1.6533222,0.02237387355424679,No,0.00,0
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2021-2022,Ongoing,1712006039/IF/22012034720465,JSA (CTR) खेत तालाब कार्य लालमन पटेल,Farm Pond,Works on Individuals Land (Category IV),Constr of Earthen graded Bund for Individuals,105747.74,36834.480000000003,142870,23900,0,23900.0,0.16728494435500804,142870,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,1,0,0,0,0,1.4287,0.239,1.1897,0.16728494435500804,No,0.00,0
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2025-2026,Ongoing,1712006039/IF/22012035438470,JGSA 2025 खेत तालाब निर्माण कार्य अशोक सिंह ग्राम पंचायत अहिर्गाव,Farm Pond,Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,112428.23,35192.93,147621,11609.94,0,11609.94,0.07864694047594854,147621,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,1,0,0,0,0,1.47621,0.1160994,1.3601106,0.07864694047594854,No,0.00,0
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2021-2022,Ongoing,1712006039/IF/IAY/3417939,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4827597,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,9897,0,9897.0,0.4213282247765006,27000,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.09897,0.17103,0.3665555555555556,No,0.00,0
SATNA,AMARPATAN,AHIRGAON,MAUHARI KATARA,अनिल पटेल,2021-2022,Ongoing,1712006039/IF/IAY/3560825,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4997266,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,15180,0,15180.0,0.6462324393358876,27000,0,0,0.0,0.0,0,0,0,0,20,0,20.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.1518,0.1182,0.5622222222222222,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2024-2025,Ongoing,1712006016/AV/22012034662244,Shanti dham nirman GP Amin,Crematorium,Anganwadi/Other Rural Infrastructure,Construction of Crematorium for Community,38076.74,296829.34999999998,335219,37279.08,261121.25,298400.33,0.8901653247578449,335219,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,0,0,1,0,3.35219,2.9840033000000004,0.3681866999999998,0.8901653247578449,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035509983,JGSA 2025 Farm Pond Construction Dharmendra singh pita Mahendra singh GP Amin,Farm Pond,Works on Individuals Land (Category IV),Construction of Farm Ponds for Individuals,112428.23,35192.93,147621,27666,3000,30666.0,0.20773467189627493,147621,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,1,0,0,0,0,1.47621,0.30666,1.16955,0.20773467189627493,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035597000,एक बगिया माँ के नाम हितग्राही कलावती सिंह / बृजलाल सिंह ग्राम अमिन ग्राम पं अमिन,Ek Bagiya Maa Ke Naam,Works on Individuals Land (Category IV),Block Plantation-Hort-Trees in fields-Individuals,114242.56,152334.69,266760,3132,0,3132.0,0.01174089068825911,266760,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,120.0,0,1,0,0,0,0,2.6676,0.03132,2.63628,0.01174089068825911,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035599125,एक बगिया माँ के नाम हितग्राही सुनीता कुशवाहा /राजकुमार कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya Maa Ke Naam,Works on Individuals Land (Category IV),Block Plantation-Hort-Trees in fields-Individuals,76449.25,99120.43,175752,3132,0,3132.0,0.017820565342072922,175752,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,120.0,0,1,0,0,0,0,1.75752,0.03132,1.7262,0.017820565342072922,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035599145,एक बगिया माँ के नाम हितग्राही चंद्रवती कुशवाहा / कामता कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya Maa Ke Naam,Works on Individuals Land (Category IV),Block Plantation-Hort-Trees in fields-Individuals,72351.320000000007,103919.32,176453,3132,0,3132.0,0.017749769060316344,176453,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,120.0,0,1,0,0,0,0,1.76453,0.03132,1.73321,0.017749769060316344,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035599174,एक बगिया माँ के नाम हितग्राही प्रेमवती कुशवाहा / जगदीश कुशवाहा ग्राम अमिन ग्राम पं अमिन,Ek Bagiya Maa Ke Naam,Works on Individuals Land (Category IV),Block Plantation-Hort-Trees in fields-Individuals,72273.42,103908.26,176364,1305,0,1305.0,0.007399469279444785,176364,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,120.0,0,1,0,0,0,0,1.76364,0.01305,1.75059,0.007399469279444785,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/22012035604004,एक बगिया माँ के नाम हितग्राही रानी बाई कुशवाहा /केशव प्रसाद कुशवाहा ग्रा0पंचा0आमिन,Ek Bagiya Maa Ke Naam,Works on Individuals Land (Category IV),Block Plantation-Hort-Trees in fields-Individuals,60597.3,103068.38,163848,5742,29015.71,34757.71,0.2121338679751965,163848,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,120.0,0,1,0,0,0,0,1.63848,0.34757709999999997,1.2909029,0.2121338679751965,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2021-2022,Ongoing,1712006016/IF/IAY/3175888,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4822500,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,4632,0,4632.0,0.19719029374201788,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,1,0,0,0,0,0.27,0.04632,0.22368,0.17155555555555554,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2021-2022,Ongoing,1712006016/IF/IAY/3525501,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP4138614,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,16035,0,16035.0,0.6826309067688378,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.16035,0.10965,0.5938888888888889,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2024-2025,Ongoing,1712006016/IF/IAY/4567504,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116164712,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,18423,0,18423.0,0.7842911877394636,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,0,1,0,0,0.27,0.18423,0.08577,0.6823333333333333,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2024-2025,Ongoing,1712006016/IF/IAY/4604062,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP124053351,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,11475,0,11475.0,0.4885057471264368,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.11475,0.15525,0.425,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/IAY/5770022,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522066,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,15660,0,15660.0,0.6666666666666666,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.1566,0.1134,0.58,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/IAY/5770023,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP121522271,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,7830,0,7830.0,0.3333333333333333,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.0783,0.1917,0.29,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/IAY/5770159,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP116208362,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,15660,0,15660.0,0.6666666666666666,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.1566,0.1134,0.58,No,0.00,0
SATNA,AMARPATAN,AMIN,TALA,अनिल पटेल अति0 02,2025-2026,Ongoing,1712006016/IF/IAY/5770283,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. MP122677907,PMAY-G House,Works on Individuals Land (Category IV),Constr of PMAY-G House for Individuals,23490,0,23490,7830,0,7830.0,0.3333333333333333,27000,0,0,0.0,0.0,0,0,0,75,45,0,120.0,1,0,0.0,0,0,0,1,0,0,0,0.27,0.0783,0.1917,0.29,No,0.00,0
