level,janpad,subengineer,pmayOngoing,ekBagiyaOngoing,sourceDate,lockThrough
JANPAD,AMARPATAN,,1044,109,2026-08-30,2026-09-06
JANPAD,MAIHAR,,1814,86,2026-08-30,2026-09-06
JANPAD,MAJHGAWAN,,1536,85,2026-08-30,2026-09-06
JANPAD,NAGOD,,1896,100,2026-08-30,2026-09-06
JANPAD,RAMNAGAR,,986,106,2026-08-30,2026-09-06
JANPAD,RAMPUR BAGHELAN,,2943,75,2026-08-30,2026-09-06
JANPAD,SATNA,,473,94,2026-08-30,2026-09-06
JANPAD,UNCHAHARA,,1303,101,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,अनिल पटेल,117,15,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,अनिल पटेल अति0,168,14,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,अनिल पटेल अति0 02,79,27,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,अश्वनी पटेल,278,20,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,श्रीमती साधना चौरे,265,25,2026-08-30,2026-09-06
SUBENGINEER,AMARPATAN,सुनील मिश्रा,137,8,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,जय अर्खेल,76,4,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,धनंजय त्रिपाठी,144,7,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,बृजेश सिंह,190,14,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,योगेन्द्र सिंह,173,9,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,योगेन्द्र सिंह अति0,161,4,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,राज रंजन तिवारी,307,10,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,राज रंजन तिवारी अति0,157,6,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,राजा भैया सिंह,205,15,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,श्रीमती मीना अग्रवाल,269,9,2026-08-30,2026-09-06
SUBENGINEER,MAIHAR,सुरेश सिंह,132,8,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,अखिलेश सोनी,165,2,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,आशीष तिवारी,238,11,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,आशीष तिवारी अति0,239,18,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,देवेन्द्र सिंह,102,6,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,रमाकांत त्रिपाठी,193,13,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,रमाकांत त्रिपाठी अति0,146,8,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,सतीस समेले,242,8,2026-08-30,2026-09-06
SUBENGINEER,MAJHGAWAN,सत्यनारायण मिश्रा,211,19,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,कौशल पटेल,346,17,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,कौशल पटेल अति0,140,16,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,निशा तिवारी,177,9,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,प्रमोद तिवारी,264,11,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,राजीवलोचन त्रिपाठी,383,10,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,रितेश राजपूत,217,11,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,संकल्प राणा,145,17,2026-08-30,2026-09-06
SUBENGINEER,NAGOD,हेमंत तिवारी,224,9,2026-08-30,2026-09-06
SUBENGINEER,RAMNAGAR,अनिल पाण्डेय,168,14,2026-08-30,2026-09-06
SUBENGINEER,RAMNAGAR,राजा राम चंदेल,160,29,2026-08-30,2026-09-06
SUBENGINEER,RAMNAGAR,राजा राम चंदेल अति0,221,21,2026-08-30,2026-09-06
SUBENGINEER,RAMNAGAR,श्रीमती साधना सिंह,142,27,2026-08-30,2026-09-06
SUBENGINEER,RAMNAGAR,संजय गुप्ता,295,15,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,अजय खरे,261,1,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,प्रमोद शुक्ला,328,7,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,भूपेन्द्र सिंह संविदा,299,11,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,मनोज खम्परिया,429,9,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,मनोज खम्परिया अति0,387,20,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,मोतीलाल लढ़िया,494,7,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,रमेश सिंह,384,9,2026-08-30,2026-09-06
SUBENGINEER,RAMPUR BAGHELAN,श्रीमती अन्नपूर्णा सिंह,361,11,2026-08-30,2026-09-06
SUBENGINEER,SATNA,आशुतोष वर्मा,15,6,2026-08-30,2026-09-06
SUBENGINEER,SATNA,कुलदीप पयासी,37,17,2026-08-30,2026-09-06
SUBENGINEER,SATNA,धर्मेन्द्र कोरी,70,2,2026-08-30,2026-09-06
SUBENGINEER,SATNA,महेन्‍द्र पारधी,61,14,2026-08-30,2026-09-06
SUBENGINEER,SATNA,व्हीके मिश्रा अति0,126,16,2026-08-30,2026-09-06
SUBENGINEER,SATNA,व्‍ही0के0मिश्रा,62,18,2026-08-30,2026-09-06
SUBENGINEER,SATNA,शिवलाल भारती,68,7,2026-08-30,2026-09-06
SUBENGINEER,SATNA,संजय पाण्डेय,34,14,2026-08-30,2026-09-06
